FBgn;FBtr
FBgn0000071;FBtr0081619
FBgn0000071;FBtr0081620
FBgn0000117;FBtr0332583
FBgn0000163;FBtr0343764
FBgn0000180;FBtr0079929
FBgn0000180;FBtr0329984
FBgn0000229;FBtr0302378
FBgn0000233;FBtr0071379
FBgn0000395;FBtr0071610
FBgn0000411;FBtr0333034
FBgn0000411;FBtr0333035
FBgn0000439;FBtr0081621
FBgn0000449;FBtr0073205
FBgn0000477;FBtr0083538
FBgn0000489;FBtr0075529
FBgn0000490;FBtr0077773
FBgn0000490;FBtr0077775
FBgn0000542;FBtr0070606
FBgn0000542;FBtr0112802
FBgn0000565;FBtr0075552
FBgn0000591;FBtr0084961
FBgn0000606;FBtr0088390
FBgn0000629;FBtr0334067
FBgn0000658;FBtr0086754
FBgn0000723;FBtr0082051
FBgn0000723;FBtr0082052
FBgn0001077;FBtr0081625
FBgn0001090;FBtr0074656
FBgn0001090;FBtr0074657
FBgn0001090;FBtr0074658
FBgn0001099;FBtr0091757
FBgn0001123;FBtr0072142
FBgn0001123;FBtr0301411
FBgn0001185;FBtr0335138
FBgn0001235;FBtr0100455
FBgn0001235;FBtr0344145
FBgn0001254;FBtr0073141
FBgn0001258;FBtr0077008
FBgn0001316;FBtr0343526
FBgn0001320;FBtr0078283
FBgn0001320;FBtr0344836
FBgn0001323;FBtr0346815
FBgn0001325;FBtr0072449
FBgn0002431;FBtr0339599
FBgn0002525;FBtr0307058
FBgn0002525;FBtr0307059
FBgn0002543;FBtr0077941
FBgn0002543;FBtr0329985
FBgn0002590;FBtr0345132
FBgn0002631;FBtr0084979
FBgn0002633;FBtr0084960
FBgn0002732;FBtr0084956
FBgn0002873;FBtr0308326
FBgn0002873;FBtr0308329
FBgn0002931;FBtr0330637
FBgn0002945;FBtr0075039
FBgn0002985;FBtr0077557
FBgn0003002;FBtr0078836
FBgn0003041;FBtr0076774
FBgn0003041;FBtr0306647
FBgn0003145;FBtr0080299
FBgn0003254;FBtr0086512
FBgn0003254;FBtr0330058
FBgn0003261;FBtr0078654
FBgn0003308;FBtr0082704
FBgn0003312;FBtr0082475
FBgn0003317;FBtr0088833
FBgn0003326;FBtr0087855
FBgn0003326;FBtr0087856
FBgn0003459;FBtr0333041
FBgn0003459;FBtr0333042
FBgn0003463;FBtr0074063
FBgn0003463;FBtr0340346
FBgn0003507;FBtr0083215
FBgn0003507;FBtr0083216
FBgn0003520;FBtr0086784
FBgn0003557;FBtr0334778
FBgn0003716;FBtr0079089
FBgn0003731;FBtr0071653
FBgn0003731;FBtr0071654
FBgn0003866;FBtr0085906
FBgn0003892;FBtr0089427
FBgn0003896;FBtr0342921
FBgn0003900;FBtr0100130
FBgn0004102;FBtr0331305
FBgn0004362;FBtr0345487
FBgn0004364;FBtr0086309
FBgn0004368;FBtr0301796
FBgn0004394;FBtr0080393
FBgn0004456;FBtr0340190
FBgn0004512;FBtr0087801
FBgn0004567;FBtr0077500
FBgn0004587;FBtr0082802
FBgn0004587;FBtr0082806
FBgn0004587;FBtr0300588
FBgn0004595;FBtr0304605
FBgn0004635;FBtr0072694
FBgn0004646;FBtr0071037
FBgn0004795;FBtr0340030
FBgn0004828;FBtr0071346
FBgn0004859;FBtr0089178
FBgn0004861;FBtr0070432
FBgn0004861;FBtr0301515
FBgn0004878;FBtr0078725
FBgn0004885;FBtr0084690
FBgn0004885;FBtr0339252
FBgn0004892;FBtr0077558
FBgn0004956;FBtr0074581
FBgn0004956;FBtr0112847
FBgn0004959;FBtr0074603
FBgn0005278;FBtr0308091
FBgn0005616;FBtr0077571
FBgn0005631;FBtr0071922
FBgn0005631;FBtr0343013
FBgn0005636;FBtr0072267
FBgn0005636;FBtr0330612
FBgn0005672;FBtr0081270
FBgn0005771;FBtr0080643
FBgn0005771;FBtr0342913
FBgn0008636;FBtr0071556
FBgn0010105;FBtr0075579
FBgn0010215;FBtr0339894
FBgn0010228;FBtr0071673
FBgn0010228;FBtr0071674
FBgn0010228;FBtr0342960
FBgn0010280;FBtr0114589
FBgn0010300;FBtr0081160
FBgn0010313;FBtr0308120
FBgn0010382;FBtr0080777
FBgn0010389;FBtr0083549
FBgn0010452;FBtr0075890
FBgn0010452;FBtr0330075
FBgn0010473;FBtr0089268
FBgn0010473;FBtr0301864
FBgn0010473;FBtr0347158
FBgn0010651;FBtr0086635
FBgn0010651;FBtr0345426
FBgn0011640;FBtr0076845
FBgn0011653;FBtr0073260
FBgn0011706;FBtr0075120
FBgn0011723;FBtr0332070
FBgn0011723;FBtr0332071
FBgn0011747;FBtr0300497
FBgn0011766;FBtr0084118
FBgn0012037;FBtr0080552
FBgn0013263;FBtr0075704
FBgn0013272;FBtr0071813
FBgn0013272;FBtr0071815
FBgn0013272;FBtr0071816
FBgn0013272;FBtr0342985
FBgn0013272;FBtr0342986
FBgn0013725;FBtr0087516
FBgn0013733;FBtr0087618
FBgn0013765;FBtr0087704
FBgn0013765;FBtr0309888
FBgn0013765;FBtr0309890
FBgn0013765;FBtr0309892
FBgn0014020;FBtr0087217
FBgn0014143;FBtr0078395
FBgn0014163;FBtr0075413
FBgn0014163;FBtr0331176
FBgn0015371;FBtr0305217
FBgn0015773;FBtr0073942
FBgn0015773;FBtr0308337
FBgn0015903;FBtr0072070
FBgn0016059;FBtr0086891
FBgn0016696;FBtr0304935
FBgn0016977;FBtr0306341
FBgn0016977;FBtr0330652
FBgn0019650;FBtr0089185
FBgn0019686;FBtr0306234
FBgn0019968;FBtr0087357
FBgn0020257;FBtr0071924
FBgn0020257;FBtr0330249
FBgn0020257;FBtr0343014
FBgn0020304;FBtr0078037
FBgn0020377;FBtr0088004
FBgn0021776;FBtr0083847
FBgn0021776;FBtr0083848
FBgn0021776;FBtr0335243
FBgn0022349;FBtr0085840
FBgn0023213;FBtr0289951
FBgn0023214;FBtr0086652
FBgn0023511;FBtr0070352
FBgn0024150;FBtr0305501
FBgn0024234;FBtr0072127
FBgn0024236;FBtr0345601
FBgn0024248;FBtr0333412
FBgn0024250;FBtr0071048
FBgn0024320;FBtr0343610
FBgn0025790;FBtr0089625
FBgn0026059;FBtr0303845
FBgn0026061;FBtr0075399
FBgn0026144;FBtr0071053
FBgn0026160;FBtr0076267
FBgn0026179;FBtr0111038
FBgn0026319;FBtr0077429
FBgn0026376;FBtr0075794
FBgn0026376;FBtr0075796
FBgn0027066;FBtr0300285
FBgn0027108;FBtr0332314
FBgn0027660;FBtr0075233
FBgn0027660;FBtr0075234
FBgn0027660;FBtr0339898
FBgn0027793;FBtr0070298
FBgn0027950;FBtr0082068
FBgn0027951;FBtr0290206
FBgn0028343;FBtr0301415
FBgn0028371;FBtr0301377
FBgn0028402;FBtr0304820
FBgn0028491;FBtr0070610
FBgn0028577;FBtr0300416
FBgn0028789;FBtr0076522
FBgn0028953;FBtr0086922
FBgn0028953;FBtr0345417
FBgn0029123;FBtr0079733
FBgn0029123;FBtr0330210
FBgn0029771;FBtr0070780
FBgn0029903;FBtr0070967
FBgn0029903;FBtr0112956
FBgn0029907;FBtr0299814
FBgn0030151;FBtr0089386
FBgn0030251;FBtr0343591
FBgn0030360;FBtr0339626
FBgn0030510;FBtr0340399
FBgn0030672;FBtr0074057
FBgn0030684;FBtr0074088
FBgn0030716;FBtr0074153
FBgn0031001;FBtr0074674
FBgn0031145;FBtr0113007
FBgn0031208;FBtr0475186
FBgn0031235;FBtr0078126
FBgn0031240;FBtr0078127
FBgn0031623;FBtr0077420
FBgn0031632;FBtr0077384
FBgn0031632;FBtr0336962
FBgn0031644;FBtr0077390
FBgn0031717;FBtr0307061
FBgn0031805;FBtr0079253
FBgn0031879;FBtr0290119
FBgn0031879;FBtr0302162
FBgn0031961;FBtr0343419
FBgn0032036;FBtr0079656
FBgn0032036;FBtr0079657
FBgn0032036;FBtr0303471
FBgn0032170;FBtr0343739
FBgn0032230;FBtr0302490
FBgn0032388;FBtr0301171
FBgn0032483;FBtr0080487
FBgn0032535;FBtr0080554
FBgn0032629;FBtr0080971
FBgn0032681;FBtr0081085
FBgn0032682;FBtr0300674
FBgn0032693;FBtr0081077
FBgn0032741;FBtr0081141
FBgn0032833;FBtr0332243
FBgn0032843;FBtr0343848
FBgn0032955;FBtr0085923
FBgn0032957;FBtr0085914
FBgn0033000;FBtr0345361
FBgn0033010;FBtr0086080
FBgn0033067;FBtr0086005
FBgn0033069;FBtr0085990
FBgn0033074;FBtr0085994
FBgn0033380;FBtr0088569
FBgn0033483;FBtr0088406
FBgn0033590;FBtr0088194
FBgn0033649;FBtr0113070
FBgn0033652;FBtr0088030
FBgn0033817;FBtr0087744
FBgn0033987;FBtr0087409
FBgn0033987;FBtr0087411
FBgn0034002;FBtr0339994
FBgn0034013;FBtr0087382
FBgn0034158;FBtr0087031
FBgn0034175;FBtr0087060
FBgn0034225;FBtr0086926
FBgn0034251;FBtr0086834
FBgn0034264;FBtr0086860
FBgn0034275;FBtr0089546
FBgn0034324;FBtr0086760
FBgn0034326;FBtr0307185
FBgn0034356;FBtr0113093
FBgn0034463;FBtr0340595
FBgn0034464;FBtr0086472
FBgn0034467;FBtr0086481
FBgn0034468;FBtr0086476
FBgn0034479;FBtr0305677
FBgn0034479;FBtr0342667
FBgn0034504;FBtr0345355
FBgn0034515;FBtr0086267
FBgn0034602;FBtr0071583
FBgn0034606;FBtr0071622
FBgn0034611;FBtr0342884
FBgn0034644;FBtr0071662
FBgn0034655;FBtr0071671
FBgn0034657;FBtr0071713
FBgn0034846;FBtr0290285
FBgn0035157;FBtr0072606
FBgn0035234;FBtr0072744
FBgn0035236;FBtr0072746
FBgn0035343;FBtr0072968
FBgn0035344;FBtr0072967
FBgn0035397;FBtr0072993
FBgn0035397;FBtr0072998
FBgn0035422;FBtr0306567
FBgn0035432;FBtr0073058
FBgn0035521;FBtr0113136
FBgn0035571;FBtr0073363
FBgn0035625;FBtr0331806
FBgn0035656;FBtr0077070
FBgn0035656;FBtr0332041
FBgn0035713;FBtr0076951
FBgn0035772;FBtr0302546
FBgn0035852;FBtr0076723
FBgn0035954;FBtr0076521
FBgn0035956;FBtr0076547
FBgn0036007;FBtr0333864
FBgn0036007;FBtr0333865
FBgn0036150;FBtr0076185
FBgn0036214;FBtr0076035
FBgn0036214;FBtr0332130
FBgn0036474;FBtr0075659
FBgn0036503;FBtr0075603
FBgn0036599;FBtr0075470
FBgn0036778;FBtr0075135
FBgn0036962;FBtr0074849
FBgn0037007;FBtr0078218
FBgn0037007;FBtr0078219
FBgn0037046;FBtr0078326
FBgn0037050;FBtr0305500
FBgn0037085;FBtr0332718
FBgn0037086;FBtr0078393
FBgn0037213;FBtr0078961
FBgn0037213;FBtr0078962
FBgn0037261;FBtr0078895
FBgn0037262;FBtr0345249
FBgn0037363;FBtr0334946
FBgn0037550;FBtr0339725
FBgn0037753;FBtr0113213
FBgn0037797;FBtr0082222
FBgn0037798;FBtr0110952
FBgn0037902;FBtr0082391
FBgn0037978;FBtr0082557
FBgn0037992;FBtr0082550
FBgn0037992;FBtr0308292
FBgn0038028;FBtr0082606
FBgn0038028;FBtr0344387
FBgn0038071;FBtr0082648
FBgn0038150;FBtr0082759
FBgn0038194;FBtr0089766
FBgn0038242;FBtr0082957
FBgn0038243;FBtr0082981
FBgn0038385;FBtr0083201
FBgn0038475;FBtr0083422
FBgn0038476;FBtr0305987
FBgn0038535;FBtr0089416
FBgn0038803;FBtr0083908
FBgn0038833;FBtr0083968
FBgn0038894;FBtr0084113
FBgn0039026;FBtr0084312
FBgn0039167;FBtr0084572
FBgn0039229;FBtr0331696
FBgn0039283;FBtr0084780
FBgn0039286;FBtr0084803
FBgn0039286;FBtr0330288
FBgn0039286;FBtr0330289
FBgn0039288;FBtr0084804
FBgn0039350;FBtr0084889
FBgn0039350;FBtr0336450
FBgn0039350;FBtr0445401
FBgn0039600;FBtr0113301
FBgn0039678;FBtr0339147
FBgn0039734;FBtr0085550
FBgn0039734;FBtr0085551
FBgn0039944;FBtr0113726
FBgn0040022;FBtr0302247
FBgn0040038;FBtr0113686
FBgn0040392;FBtr0070407
FBgn0040532;FBtr0081920
FBgn0040670;FBtr0344948
FBgn0040984;FBtr0337080
FBgn0041160;FBtr0075580
FBgn0041184;FBtr0081040
FBgn0041184;FBtr0329928
FBgn0041706;FBtr0072251
FBgn0043791;FBtr0082060
FBgn0044028;FBtr0075435
FBgn0044050;FBtr0076373
FBgn0044324;FBtr0346095
FBgn0046253;FBtr0273227
FBgn0046687;FBtr0308339
FBgn0050015;FBtr0113357
FBgn0050062;FBtr0303158
FBgn0050089;FBtr0340007
FBgn0050115;FBtr0340387
FBgn0050163;FBtr0343491
FBgn0050285;FBtr0071678
FBgn0050286;FBtr0300952
FBgn0050287;FBtr0071695
FBgn0050357;FBtr0088721
FBgn0050372;FBtr0339300
FBgn0050398;FBtr0071710
FBgn0050431;FBtr0085991
FBgn0050432;FBtr0307499
FBgn0051131;FBtr0300438
FBgn0051184;FBtr0084505
FBgn0051313;FBtr0082982
FBgn0051313;FBtr0334960
FBgn0051313;FBtr0334961
FBgn0051485;FBtr0081662
FBgn0051523;FBtr0078937
FBgn0051606;FBtr0079577
FBgn0051712;FBtr0331636
FBgn0051716;FBtr0331637
FBgn0051721;FBtr0080096
FBgn0052141;FBtr0075735
FBgn0052227;FBtr0074848
FBgn0052475;FBtr0329896
FBgn0052639;FBtr0073734
FBgn0052672;FBtr0346376
FBgn0052801;FBtr0070355
FBgn0052829;FBtr0079370
FBgn0052971;FBtr0080621
FBgn0052982;FBtr0301040
FBgn0053099;FBtr0084288
FBgn0053113;FBtr0079042
FBgn0053113;FBtr0079043
FBgn0053113;FBtr0079044
FBgn0053180;FBtr0303648
FBgn0053200;FBtr0071826
FBgn0053207;FBtr0083162
FBgn0053526;FBtr0091487
FBgn0053526;FBtr0091489
FBgn0053552;FBtr0091522
FBgn0063261;FBtr0083346
FBgn0067905;FBtr0100038
FBgn0069056;FBtr0308585
FBgn0082598;FBtr0302543
FBgn0082598;FBtr0332730
FBgn0083940;FBtr0110782
FBgn0083972;FBtr0110944
FBgn0085412;FBtr0329899
FBgn0085424;FBtr0342628
FBgn0085432;FBtr0100246
FBgn0085432;FBtr0112657
FBgn0086690;FBtr0333940
FBgn0086690;FBtr0333946
FBgn0250906;FBtr0330718
FBgn0259111;FBtr0331659
FBgn0259111;FBtr0331660
FBgn0259167;FBtr0299616
FBgn0259167;FBtr0299617
FBgn0259211;FBtr0299706
FBgn0259211;FBtr0300538
FBgn0259211;FBtr0345791
FBgn0259212;FBtr0334910
FBgn0259740;FBtr0302201
FBgn0259740;FBtr0304667
FBgn0259817;FBtr0300105
FBgn0260011;FBtr0080592
FBgn0260400;FBtr0070091
FBgn0260477;FBtr0300950
FBgn0260635;FBtr0075501
FBgn0260635;FBtr0333618
FBgn0261268;FBtr0302158
FBgn0261434;FBtr0078951
FBgn0261554;FBtr0302702
FBgn0261560;FBtr0077524
FBgn0261563;FBtr0305063
FBgn0261648;FBtr0089913
FBgn0261648;FBtr0343619
FBgn0261800;FBtr0079490
FBgn0261822;FBtr0079573
FBgn0261858;FBtr0303463
FBgn0261873;FBtr0089974
FBgn0261873;FBtr0308217
FBgn0261930;FBtr0070110
FBgn0262112;FBtr0085481
FBgn0262482;FBtr0304821
FBgn0262531;FBtr0304976
FBgn0262607;FBtr0305281
FBgn0262614;FBtr0305298
FBgn0262614;FBtr0305303
FBgn0262614;FBtr0305304
FBgn0262624;FBtr0072836
FBgn0262719;FBtr0305700
FBgn0262719;FBtr0308608
FBgn0262867;FBtr0086003
FBgn0262867;FBtr0307500
FBgn0262867;FBtr0307501
FBgn0262867;FBtr0336524
FBgn0263102;FBtr0088278
FBgn0263102;FBtr0088281
FBgn0263102;FBtr0100607
FBgn0263144;FBtr0336519
FBgn0263197;FBtr0086948
FBgn0263256;FBtr0308298
FBgn0263256;FBtr0330321
FBgn0263256;FBtr0339672
FBgn0263256;FBtr0344862
FBgn0263316;FBtr0302027
FBgn0263603;FBtr0075493
FBgn0263740;FBtr0310387
FBgn0264089;FBtr0330730
FBgn0264270;FBtr0331254
FBgn0264270;FBtr0331259
FBgn0264270;FBtr0336727
FBgn0264270;FBtr0336729
FBgn0264598;FBtr0333527
FBgn0264707;FBtr0333956
FBgn0264817;FBtr0347597
FBgn0264895;FBtr0334847
FBgn0264895;FBtr0334848
FBgn0265003;FBtr0335513
FBgn0265003;FBtr0335516
FBgn0265003;FBtr0335517
FBgn0265082;FBtr0336809
FBgn0265274;FBtr0085350
FBgn0265274;FBtr0330306
FBgn0265274;FBtr0345207
FBgn0265276;FBtr0082533
FBgn0265276;FBtr0110876
FBgn0265276;FBtr0110877
FBgn0265276;FBtr0305186
FBgn0265276;FBtr0307082
FBgn0265276;FBtr0330170
FBgn0265298;FBtr0089898
FBgn0265298;FBtr0306252
FBgn0265629;FBtr0340490
FBgn0266101;FBtr0343559
FBgn0266129;FBtr0072458
FBgn0266129;FBtr0330231
FBgn0266409;FBtr0344358
FBgn0266418;FBtr0344405
FBgn0266418;FBtr0344406
FBgn0266581;FBtr0346345
FBgn0266599;FBtr0083056
FBgn0266696;FBtr0345085
FBgn0266696;FBtr0345108
FBgn0266696;FBtr0345113
FBgn0266756;FBtr0334286
FBgn0266756;FBtr0334288
FBgn0267280;FBtr0346496
FBgn0267348;FBtr0076382
FBgn0267487;FBtr0072716
FBgn0267790;FBtr0304684
FBgn0267791;FBtr0086219
FBgn0267791;FBtr0086222
FBgn0268063;FBtr0076793
FBgn0268063;FBtr0332144
FBgn0278608;FBtr0089259
FBgn0283521;FBtr0089344
FBgn0283521;FBtr0089362
FBgn0283741;FBtr0302655
FBgn0283741;FBtr0332901
FBgn0284084;FBtr0079432
FBgn0284243;FBtr0086537
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;